Date	Device Name	Description	Novel	Author	Built?	By Whom?	Product	First Year Made	Additional Details	Bits or Atoms?	Companies Working on This	Link to Doc With Technical Details	Requires Changes to Laws of Physics
	1951	Spinning Pressurized Drum	Put a spin on just a part of a space station.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Early artificial gravity	Atoms			
	1951	Asteroid Garden	A method for building a greenhouse on a small, airless body.	Asteroid of Fear	Raymond Z. Gallun	No	N/A	N/A	N/A	Early asteroid farming	Atoms			
	1951	Cold-Sleep	A form of induced suspended animation, in which a person enters a state like hibernation.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Early cryonics ideas	Atoms			
	1951	Smarter People Having Fewer Children	The original argument that less suitable human pairs are having proportionally more children.	The Marching Morons	C.M. Kornbluth	No	N/A	N/A	N/A	Early dysgenics argument	Bits			
	1951	Microwire	A very thin wire used for recording purposes.	Between Planets	Robert Heinlein	Yes	Engineers	Product	1950s	Early miniaturization	Atoms			
	1951	Plasto-Textile	A fabric that cannot be stained.	Foundation	Isaac Asimov	Yes	Engineers	Product	1950s	Early synthetics	Atoms			
	1951	Robot Comedian	Joke-telling feature added to a standard butler robot.	The Jester	William Tenn	No	N/A	Concept	N/A	Early humor AI	Bits			
	1951	Martian Perambulator	A mechanized transport for heavy gravity environments for beings born in lower gravity environments.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Early Mars rover ideas	Atoms			
	1951	Movable Slideway	A slideway (moving sidewalk) that can be extended to a spaceship to ease the debarkation process.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Early moving walkways	Atoms			
	1951	Molecule Matrix	Storing information in individual molecules and atoms.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Early nanotech ideas	Atoms			
	1951	Butler-Valet Robot	A gentleman's servant, roboticized.	The Jester	William Tenn	No	N/A	Concept	N/A	Early personal robot	Atoms			
	1951	Planetruck	Huge vehicle for planetary surface transport.	The Slave Ship to Andrigo	Ross Rocklynne	No	N/A	Concept	N/A	Early planetary rovers	Atoms			
	1951	Robass	A robotic beast of burden.	The Quest for Saint Aquin	Anthony Boucher	No	N/A	Concept	N/A	Early robot animals	Atoms			
	1951	Odorophonics	A system capable of reproducing selected scents capable of fooling the human nervous system.	The Illustrated Man	Ray Bradbury	No	N/A	Concept	N/A	Early sensory tech	Atoms			
	1951	Happylife Home	An automated multi-media home, which provided the good life to its inhabitants.	The Illustrated Man	Ray Bradbury	No	N/A	Concept	N/A	Early smart homes	Atoms			
	1951	Airtight Tent	A temporary structure for living on an airless moon or asteroid.	Asteroid of Fear	Raymond Z. Gallun	No	N/A	Concept	N/A	Early space habitats	Atoms			
	1951	Surrogate Skin	False skin that is sprayed onto damaged areas.	The Puppet Masters	Robert Heinlein	No	N/A	Concept	N/A	Early telepresence	Atoms			
	1951	Metal Foil Advertisement	An advertising circular made out of metal.	The Illustrated Man	Ray Bradbury	No	N/A	Concept	N/A	Fictional ads	Bits			
	1951	Pail of Air	A small bucket filled with (liquid) air.	A Pail of Air	Fritz Leiber	No	N/A	Concept	N/A	Fictional air storage	Atoms			
	1951	Booklegger	A smuggler of books.	Between Planets	Robert Heinlein	No	N/A	N/A	N/A	Fictional book smuggling	Bits			
	1951	Suspensine	Slows biological functions enough to survive in airless space - for a time.	Duel on Syrtis	Poul Anderson	No	N/A	Concept	N/A	Fictional cryonics	Atoms			
	1951	Personal Capsule	An impenetrable device containing information for your eyes only.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional data security	Bits			
	1951	Ontogenetic Adaptation	Immediate genetic-level ability to eat alien plants.	The End of the Line	James Schmitz	No	N/A	N/A	N/A	Fictional evolution	Atoms			
	1951	Agricultural World	Planet set aside for the production of food for another world.	Foundation	Isaac Asimov	No	N/A	N/A	N/A	Fictional farm planet	Atoms			
	1951	Flavor-Fix Rheostat	Technology makes sure that the flavor of automatically-produced food is perfect.	The Jester	William Tenn	No	N/A	Concept	N/A	Fictional food tech	Atoms			
	1951	Force-Field Penknife	A pocket-sized knife, the blade of which is a force-field.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional force fields	Atoms			
	1951	Half-Sphere Force Field	A protective force field that can manifest even as a half-sphere.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Fictional force fields	Atoms			
	1951	Jump Through Hyperspace	Device that makes faster-than-light travel possible.	Foundation	Isaac Asimov	No	N/A	N/A	N/A	Fictional FTL	Atoms			
	1951	Ultrawave Relay or Hyperwave Relay	Instantaneous, faster-than-light communication system.	Foundation	Isaac Asimov	No	N/A	N/A	N/A	Fictional FTL comms	Bits			
	1951	Gravitic Repulsion Elevator	The elevator was of the new sort that ran by gravitic repulsion.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional gravity tech	Atoms			
	1951	Sun Dome	Used on Venus to give relief from the endless rain.	The Illustrated Man	Ray Bradbury	No	N/A	Concept	N/A	Fictional habitat	Atoms			
	1951	Meson Filter	Provides robots with the ability to tell the difference between jokes that provide a chuckle and jokes that provide a belly laugh.	The Jester	William Tenn	No	N/A	Concept	N/A	Fictional humor tech	Bits			
	1951	Variable Modifier	Provides the capability of altering standard jokes to fit new circumstances.	The Jester	William Tenn	No	N/A	Concept	N/A	Fictional humor tech	Bits			
	1951	Self-Sealing Plastic	Transparent sheeting with a layer of material that would flow to staunch tiny leaks.	Asteroid of Fear	Raymond Z. Gallun	No	N/A	Concept	N/A	Fictional materials	Atoms			
	1951	Psychohistory	Branch of mathematics describes the behavior of human beings en masses.	Foundation	Isaac Asimov	No	N/A	N/A	N/A	Fictional math forecasting	Bits			
	1951	Zag House	A means of implanting dreams.	First He Died (Time and Again)	Clifford Simak	No	N/A	Concept	N/A	Fictional memory tech	Bits			
	1951	Dominator	Device implants a psychological block.	The End of the Line	James Schmitz	No	N/A	Concept	N/A	Fictional mind control	Atoms			
	1951	Vibratory Mass Penetrator	A device that allows a person to walk through earth and even solid rock.	Rock Diver	Harry Harrison	No	N/A	Concept	N/A	Fictional mining tech	Atoms			
	1951	Directional Ticket	A ticket that also has the property of glowing while you are going toward what you bought.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional navigation	Bits			
	1951	Neuronic Whip	A weapon that stimulated the nerve endings to cause extreme discomfort.	The Stars, Like Dust	Isaac Asimov	No	N/A	Concept	N/A	Fictional neural weapon	Atoms			
	1951	Oxygen Weeds	Plants that create oxygen on a planet with little breathable air.	The Sands of Mars	Arthur C. Clarke	No	N/A	Concept	N/A	Fictional oxygen plants	Atoms			
	1951	Polaron Beam	A unique beam of energy that scatters some of its light at right angles to the direction of propagation.	Earthlight (Novella)	Arthur C. Clarke	No	N/A	Concept	N/A	Fictional particle beam	Atoms			
	1951	Neutron Disruption Blaster	Beam pistol which splits neutrons into protons and electrons, releasing enormous energy.	The Complete Paratime	H. Beam Piper	No	N/A	Concept	N/A	Fictional particle beam	Atoms			
	1951	Personal Force-Shield	A portable force-shield small enough to be carried by a single man.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional personal shield	Atoms			
	1951	Negative Molecular Motion	A state of matter that has a temperature below absolute zero.	The Universe Between	Alan E. Nourse	No	N/A	N/A	N/A	Fictional physics	Atoms			
	1951	Trantor	A city that covers the entire surface of the planet.	Foundation	Isaac Asimov	No	N/A	N/A	N/A	Fictional planetwide city	Atoms			
	1951	Pocket Nucleo-Bulb	A nuclear-powered pocket-sized flashlight.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional portable reactor	Atoms			
	1951	Nuclear Shears	Device uses nuclear power to accomplish basic shop tasks.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional power tools	Atoms			
	1951	Security Restraint Field	A force field that restricts personal movement.	Between Planets	Robert Heinlein	No	N/A	Concept	N/A	Fictional restraints	Atoms			
	1951	Asteroid Homesteaders' School	An institution of learning where regular folks learned how to start a farm on an asteroid.	Asteroid of Fear	Raymond Z. Gallun	No	N/A	Concept	N/A	Fictional spacesteading	Atoms			
	1951	Static Field	A defense against a spy beam.	Foundation	Isaac Asimov	No	N/A	Concept	N/A	Fictional surveillance counter	Atoms			
	1951	Mentophone	A device that facilitates long-distance telepathy.	First He Died (Time and Again)	Clifford Simak	No	N/A	Concept	N/A	Fictional telepathy	Atoms			
	1951	Flying Saucer	Spacecraft flown by the androgynes of Titan - under control of the Puppetmasters.	The Puppet Masters	Robert Heinlein	No	N/A	N/A	N/A	Fictional UFO	Atoms			
	1951	Ultra-Light	Allows the user to see into rock or other solid matter.	Rock Diver	Harry Harrison	No	N/A	Concept	N/A	Fictional x-ray vision	Atoms			
	1951	Machine Test Scoring	A device that scans a specially prepared grade sheet and determines a student's score.	The Fun They Had	Isaac Asimov	Yes	Educators	Product	1960s	Early ed tech	Bits			
	1951	Audio Relay	A communication device implanted behind the ear; also used as an alarm for wake-up calls.	The Puppet Masters	Robert Heinlein	Yes	Engineers	Prototype	1960s	Early implant tech	Bits			
	1951	Calculator Pad	Used to make psychohistoric calculations	Foundation	Isaac Asimov	Yes	Engineers	Product	1960s	Early tablets	Bits			
	1951	Mechanical Teacher	A computer device able to teach children.	The Fun They Had	Isaac Asimov	Yes	Educators	Prototype	1920s	Early teaching machines	Bits			
	1952	Tree-Grown Wood	The natural product, obtained by cutting down a living tree.	Gravy Planet	Frederik Pohl (w/CM Kornbluth	Yes	Forestry	Timber	Ancient	Building material from trees	Atoms			
	1952	Animal-tissue Culture Vat	A means of producing artificial meat for food.	Uller Uprising	H. Beam Piper	Yes	Food companies	Cultured meat	2020s	Lab-grown meat	Atoms			
	1952	Chicken Little	Very early reference to meat grown in a vat for food.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	Yes	Food companies	Cultured meat	2020s	Lab-grown meat	Atoms			
	1952	Pocket Projector	A personal device for replaying media.	Foundation and Empire	Isaac Asimov	Yes	Consumer electronics	Pico projectors	2010s	Handheld projectors	Bits			
	1952	Automated Wake-Up Call	A device that provides automated wake-up calls.	The Kokod Warriors	Jack Vance	Yes	Tech companies	Smart speakers	2010s	Voice-activated assistants	Bits			
	1952	Solar-powered Prefab House	A pre-built house that can live off the grid.	Ring Around the Sun	Clifford Simak	Yes	Home builders	Solar homes	1970s	Homes with solar power	Atoms			
	1952	Stun Pistol	A hand-held device that causes unconsciousness.	Foundation and Empire	Isaac Asimov	Yes	Defense companies	Stun guns	1970s	Non-lethal weapons	Atoms			
	1952	Wall-Light	The walls of a room provide illumination.	Foundation and Empire	Isaac Asimov	Yes	Lighting companies	Wall sconces	19th century	Lights attached to walls	Bits			
	1952	Ribbon World	A planet that presents the same face to its sun has a small habitable area - the ribbon between light and dark.	Foundation and Empire	Isaac Asimov	No	N/A	Tidally locked planet	N/A	Astronomical concept	Atoms			
	1952	Prism Window	A device for getting a better view of the ground from inside an airplane.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Aircraft window	N/A	Fictional concept	Bits			
	1952	Triple Airlock	Special device to protect against extremely corrosive atmospheres.	Uller Uprising	H. Beam Piper	No	N/A	Airlock	N/A	Fictional concept	Atoms			
	1952	Levitating Path	Anti-gravity metal used to make a floating walkway.	A Sound of Thunder	Ray Bradbury	No	N/A	Anti-gravity path	N/A	Fictional concept	Bits			
	1952	Contragravity Suit	A suit with antigravity.	Uller Uprising	H. Beam Piper	No	N/A	Anti-gravity suit	N/A	Fictional concept	Bits			
	1952	Flavor-Capsule	A small pill used to turn ordinary water into a flavored beverage.	Foundation and Empire	Isaac Asimov	No	N/A	Artificial flavoring	N/A	Fictional concept	Atoms			
	1952	Gravital Unit	Device that maintains Earth-comparable gravity on an asteroid.	Accidental Flight	W.F. Wallace	No	N/A	Artificial gravity	N/A	Fictional concept	Bits			
	1952	Free Robot	A robot without a master.	Robot Unwanted	Daniel Keyes	No	N/A	Autonomous robot	N/A	Fictional concept	Atoms			
	1952	Electronic Spy	An autonomous device that kept itself hidden while keeping track of an individual's activity.	Ring Around the Sun	Clifford Simak	No	N/A	Electronic surveillance	N/A	Fictional concept	Bits			
	1952	Nuclear-Field Depressor	A device that causes nuclear-powered devices to stop working.	Foundation and Empire	Isaac Asimov	No	N/A	EMP device	N/A	Fictional concept	Bits			
	1952	Airjeep	A small military air vehicle.	Uller Uprising	H. Beam Piper	No	N/A	Fictional aircraft	N/A	Fictional concept	Atoms			
	1952	Coffiest	It's coffee that you can't live without.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Fictional beverage	N/A	Fictional concept	Atoms			
	1952	Flat Cat	A nearly two-dimensional furry little beast.	The Rolling Stones	Robert Heinlein	No	N/A	Fictional creature	N/A	Fictional concept	Atoms			
	1952	Photo Crystal (Cube)	A small handheld display for a picture	Foundation and Empire	Isaac Asimov	No	N/A	Fictional display	N/A	Fictional concept	Bits			
	1952	Soot-Extractor Nostril Plugs (Antisoot Plugs)	A small device worn to filter industrial pollutants out of breathing air.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Fictional product	N/A	Fictional concept	Atoms			
	1952	Plasticocoon	Holds a prisoner motionless.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Fictional restraint	N/A	Fictional concept	Atoms			
	1952	Robodore	A robot specialized for use as a stevedore, emptying the contents of ships in port.	Robot Unwanted	Daniel Keyes	No	N/A	Fictional robot	N/A	Fictional concept	Atoms			
	1952	Cylinder Space Suit	A mostly rigid, cylindrical space suit.	Islands in the Sky	Arthur C. Clarke	No	N/A	Fictional spacesuit	N/A	Fictional concept	Atoms			
	1952	Silencer-Padding	Robots need to have special padding on the bottoms of their lower limbs, so they don't clank as they walk.	Robot Unwanted	Daniel Keyes	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1952	Magneslippers	Shoes that adhere to metal space ship floors, useful in null gravity situations.	Accidental Flight	W.F. Wallace	No	N/A	Fictional technology	N/A	Fictional concept	Atoms			
	1952	Hydropathic bed	A heated bed that used something more comfortable than water.	The Demolished Man	Alfred Bester	No	N/A	Fictional technology	N/A	Fictional concept	Bits			
	1952	Flesh Men	Thinking beings that are not mechanical robots - human beings.	Robots of the World! Arise!	Mari Wolf	No	N/A	Fictional term	N/A	Fictional concept	Atoms			
	1952	Monoline	A wind-driven overland transport.	Big Planet	Jack Vance	No	N/A	Fictional transportation	N/A	Fictional concept	Atoms			
	1952	Analogue Treatment	Hypnotic drug treatment that normalizes behavior in humans.	Ticket to Anywhere	Damon Knight	No	N/A	Fictional treatment	N/A	Fictional concept	Bits			
	1952	Lunocycle (Lunar Bicycle)	A bicycle specially adapted for lunar travel.	The Rolling Stones	Robert Heinlein	No	N/A	Fictional vehicle	N/A	Fictional concept	Atoms			
	1952	Kite-Copter Car	An observation car suspended below a device that supplies lift.	The Kokod Warriors	Jack Vance	No	N/A	Fictional vehicle	N/A	Fictional concept	Atoms			
	1952	Law of Contact	Non-interference in the development of other worlds.	Orphans of the Void	Orville Shaara	No	N/A	First contact protocols	N/A	Fictional concept	Bits			
	1952	Panatrope	A device that modifies human dna to ensure survival in harsh alien environments.	Surface Tension	James Blish	No	N/A	Genetic engineering	N/A	Fictional concept	Bits			
	1952	Light Absorbing/Emitting Ink	Ink that can absorb light and then emit it in a burst for advertising purposes.	Gravy Planet	Frederik Pohl (w/CM Kornbluth	No	N/A	Glowing ink	N/A	Fictional concept	Atoms			
	1952	Personal Solar Plant	A single-home solar-powered energy source.	Ring Around the Sun	Clifford Simak	No	N/A	Home solar	N/A	Fictional concept	Bits			
	1952	Hypnoteleset	A device that guarantees quick, surrogate sleep.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Hypnosis device	N/A	Fictional concept	Bits			
	1952	Visi-Sonor	An entertainment device which appeared to create both sound and light by acting directly on brain cells. It also stimulated emotions directly.	Foundation and Empire	Isaac Asimov	No	N/A	Immersive entertainment	N/A	Fictional concept	Bits			
	1952	Airplane Window Ads	An airplane window that allows you to - see advertisements!	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	In-flight advertising	N/A	Fictional concept	Bits			
	1952	Mnemiphot	A device used to search for information, which is then presented on a convenient screen.	The Kokod Warriors	Jack Vance	No	N/A	Information retrieval	N/A	Fictional concept	Bits			
	1952	Psychic Probe	A device capable of discerning truthful information in a living human brain.	Foundation and Empire	Isaac Asimov	No	N/A	Mind reading device	N/A	Fictional concept	Bits			
	1952	Tiny Nuclear Generator	A complete nuclear-based generator of power no bigger than a walnut.	Foundation and Empire	Isaac Asimov	No	N/A	Miniaturized reactor	N/A	Fictional concept	Atoms			
	1952	Supervisor Robot	A robot that watches over and gives orders to other robots.	Manners of the Age	H.B. Fyfe	No	N/A	Overseer robot	N/A	Fictional concept	Atoms			
	1952	Esper	A person to perceive the contents of another person's mind.	The Demolished Man	Alfred Bester	No	N/A	Psionic ability	N/A	Fictional concept	Bits			
	1952	Lead-Bodied Android	A robot designed for use in the nuclear industry.	Robots of the World! Arise!	Mari Wolf	No	N/A	Radiation-shielded robot	N/A	Fictional concept	Atoms			
	1952	Toaster	A handheld beam weapon.	Accidental Flight	W.F. Wallace	No	N/A	Ray gun	N/A	Fictional concept	Bits			
	1952	Retinal Projection	A method for projecting advertisements directly on the retina.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Retinal display	N/A	Fictional concept	Bits			
	1952	Robot Tennis Player	A purely mechanical, autonomous foe on the court.	Manners of the Age	H.B. Fyfe	No	N/A	Robot athlete	N/A	Fictional concept	Atoms			
	1952	Robot Ramp	A special means of ingress and egress solely for use by mechanical help.	Robot Unwanted	Daniel Keyes	No	N/A	Robot infrastructure	N/A	Fictional concept	Atoms			
	1952	Robot Strike	When robots refuse to work.	Robots of the World! Arise!	Mari Wolf	No	N/A	Robot rebellion	N/A	Fictional concept	Bits			
	1952	Robot Manumission	The freeing of a robotic being from a state of being owned property.	Robot Unwanted	Daniel Keyes	No	N/A	Robot rights	N/A	Fictional concept	Bits			
	1952	Robotic Law Tape Safety Valve	A specific impulse that warns robots contemplating breaking the laws set forth for their behavior.	Robot Unwanted	Daniel Keyes	No	N/A	Robot safeguards	N/A	Fictional concept	Bits			
	1952	Vision Strip	A circular vision strip for robots.	Orphans of the Void	Orville Shaara	No	N/A	Robot vision	N/A	Fictional concept	Bits			
	1952	Self-Maintaining Circuit Monitoring and Repair	A computer that monitors itself for repair.	Gramp and his Dog	Frank Quattrocchi	No	N/A	Robust computing	N/A	Fictional concept	Bits			
	1952	Self-Repairing Robot	A mechanism that can detect faults in itself and repair them.	Accidental Flight	W.F. Wallace	No	N/A	Self-healing robotics	N/A	Fictional concept	Bits			
	1952	Space-Weather Men	Predictors of the 'weather' in space.	Revenge of the Robots	Lawrence Chandler	No	N/A	Space monitoring	N/A	Fictional concept	Bits			
	1952	Space Beacon	An ordinary sun is transformed into a beacon for use by spacecraft when in hyperspace.	Troubled Star	George O. Smith	No	N/A	Space navigation	N/A	Fictional concept	Bits			
	1952	Leak Disk	Simple device to temporarily close a leak in a spacecraft.	Islands in the Sky	Arthur C. Clarke	No	N/A	Spacecraft repair	N/A	Fictional concept	Atoms			
	1952	Spray-On Clothing Web	A 'web' clothing foundation that can be sprayed on and then molded by a couturier.	Abercrombie Station	Jack Vance	No	N/A	Spray-on clothing	N/A	Fictional concept	Atoms			
	1952	Spray-On Gloves	Fashionable evening gloves that are sprayed onto the hand and arm.	Abercrombie Station	Jack Vance	No	N/A	Spray-on clothing	N/A	Fictional concept	Atoms			
	1952	Barytrine Field	Very large scale stasis field.	Troubled Star	George O. Smith	No	N/A	Stasis field	N/A	Fictional concept	Bits			
	1952	Compulsive Subsonics	An advertising agency works with every part of the audience's brain.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Subliminal advertising	N/A	Fictional concept	Bits			
	1952	Tourist Rocket	A cheap, unpleasant way to do space travel.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Suborbital rocket	N/A	Fictional concept	Atoms			
	1952	Spy-Eyes	Tiny robotic surveillance devices fly using propellers.	Manners of the Age	H.B. Fyfe	No	N/A	Surveillance robots	N/A	Fictional concept	Atoms			
	1952	Plastissue	Artificial flesh.	Accidental Flight	W.F. Wallace	No	N/A	Synthetic flesh	N/A	Fictional concept	Atoms			
	1952	Menslator	A translator that works by examining the mental image of what you are trying to say.	Troubled Star	George O. Smith	No	N/A	Telepathic translator	N/A	Fictional concept	Bits			
	1952	Ullran Enunciator	Special prosthesis needed to aid humans in speaking an alien language.	Uller Uprising	H. Beam Piper	No	N/A	Translation device	N/A	Fictional concept	Bits			
	1952	Chlorella Plantation	A skyscraper designed for food production.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Vertical farming	N/A	Fictional concept	Atoms			
	1952	Water Bulb	A zero-gee dispenser of liquids.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	No	N/A	Zero-g liquid container	N/A	Fictional concept	Atoms			
	1952	Broomstick	Device to ease movement in a zero-gravity environment.	Islands in the Sky	Arthur C. Clarke	No	N/A	Zero-g maneuvering device	N/A	Fictional concept	Atoms			
	1952	Singularity	In science, a condition in which spacetime breaks down; in society, a technological advance causes social conditions to break down.	All The Time In The World	Arthur C. Clarke	No	N/A	Technological singularity	N/A	Hypothetical concept	Bits			
	1952	Warp-Speed	Faster than light spaceships.	Yachting Party	Fox B. Holden	No	N/A	FTL travel	N/A	Scientific concept	Bits			
	1952	Off-Planet	Away from a planet, towards another or into space.	Uller Uprising	H. Beam Piper	No	N/A	Space travel	N/A	Scientific concept	Bits			
	1952	Medical Use for Weightlessness	Early reference to the idea of using a weightless environment for medical purposes.	Accidental Flight	W.F. Wallace	Yes	NASA, space medicine	Microgravity research	1960s	Studying zero-g conditions	Bits			
	1952	Hilsch Vortex Tube	A T-shaped device that admits air under pressure and outputs hot air from side and cold from the other.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	Yes	Industry	Vortex tubes	1930s	Separates hot and cold air	Atoms			
	1952	Depilatory Soap	A labor-saving combination of soap and a agent that removes hair.	Gravy Planet	Frederik Pohl (w/CM Kornbluth	Yes	Cosmetics	Hair removal	1900s	Chemical hair removal	Atoms			
	1952	Gas Giant	Large planet consisting primarily of gas with a solid core.	Solar Plexus	James Blish	Yes	Astronomy	Gas giants	17th century	Giant gaseous planets	Atoms			
	1952	Zero 'g' (Zero Gee)	In a ship in orbit, in free fall.	Islands in the Sky	Arthur C. Clarke	Yes	NASA, Space agencies	Microgravity	1950s	Weightlessness in space	Bits			
	1952	Recorded Books	Electronically recorded books.	Foundation and Empire	Isaac Asimov	Yes	Audiobook companies	Audiobooks	1930s	Audio book recordings	Bits			
	1952	Beeper	A handheld radar set, used to find items that have drifted off.	Islands in the Sky	Arthur C. Clarke	Yes	Aviation	Aircraft transponders	1930s	Location tracking device	Bits			
	1952	Automatic Pilot	A device to control the movement of aircraft using computer components.	The Space Merchants	Frederik Pohl (w/CM Kornbluth	Yes	Aviation	Autopilots	1920s	Automatic aircraft control	Bits			
	1952	Droid (First Use)	"Contraction of ""android""."	Robots of the World! Arise!	Mari Wolf	Yes	Lucasfilm	Droids	1977	Robots in Star Wars universe	Atoms			
	1953	Automatic Ticket Machine	Get your ticket to Trantor automatically.	Second Foundation	Isaac Asimov	Yes	Engineers	N/A	20th century	Early vending machines	Atoms			
	1953	Yeast-Culture Vats	Using cultured yeast as the basis for food production.	Caves of Steel	Isaac Asimov	Yes	Scientists	N/A	20th century	Real yeast farming	Atoms			
	1953	Garbage Screen	Use of bits of metal to confuse radar targeting of space stations.	Space Tug	Murray Leinster	Yes	Military	N/A	20th century	Real radar countermeasures	Bits			
	1953	Sound Analysis	Improving language teaching by showing the waveform of a spoken word or phrase, and comparing it to standard speech.	Assignment in Eternity	Robert Heinlein	Yes	Educators	N/A	20th century	Real speech analysis	Bits			
	1953	Robotaxi	A fully automated, driverless taxi.	Dugal Was A Spaceman	Joe Gibson	Yes	Engineers	N/A	2020s	Early autonomous taxis	Atoms			
	1953	Automatobus	An autonomous or self-driving bus seating a number of people.	Sally	Isaac Asimov	Yes	Engineers	N/A	2010s	Early autonomous buses	Atoms			
	1953	Automatobile	An autonomous private car.	Sally	Isaac Asimov	Yes	Engineers	N/A	2010s	Early self-driving cars	Atoms			
	1953	Robotic Conductor	A robot charged with conductor's duties aboard a bus or other public transportation.	Paycheck	Philip K. Dick	Yes	Engineers	N/A	2010s	Real autonomous buses	Atoms			
	1953	Robot Door	Automated door has some decision-making capabilities, in addition to speech recognition capabilities.	Colony	Philip K. Dick	Yes	Engineers	N/A	2000s	Early smart door	Atoms			
	1953	Robot Psyche Tester	An automated psychiatric evaluation device.	Colony	Philip K. Dick	Yes	Engineers	N/A	2010s	Real automated psych eval	Bits			
	1953	Legislation Analyzer	Device analyzes potentially biased bills.	The Trouble With Bubbles	Philip K. Dick	Yes	Engineers	N/A	2010s	Real legislative analysis tools	Bits			
	1953	Autonomous Car Intercommunication	Automatic cars talk to each other about everything.	Sally	Isaac Asimov	Yes	Engineers	N/A	2010s	Real vehicle-to-vehicle communication	Bits			
	1953	Seashell Radio (Thimble Radios)	Small radios that fit into the ears like hearing aids or ear buds.	Fahrenheit 451	Ray Bradbury	Yes	Engineers	N/A	1980s	Early earbuds	Atoms			
	1953	Spot-Wavex Scrambler	Provides a more personalized experience of television, by letting the announcers talk to you personally.	Fahrenheit 451	Ray Bradbury	Yes	Engineers	N/A	2000s	Early personalized media	Bits			
	1953	Self-Sufficient House	A single family residence that required no surrounding infrastructure.	Childhood's End	Arthur C. Clarke	Yes	Architects	N/A	1970s	Early self-sufficient homes	Atoms			
	1953	Pocket Phone (or pocketphone)	A telephone that is not hard wired to the network; a mobile or cell phone.	Assignment in Eternity	Robert Heinlein	Yes	Engineers	N/A	1980s	Early mobile phones	Bits			
	1953	Ring Road	A magnetically levitated train.	Starman Jones	Robert Heinlein	Yes	Engineers	N/A	1960s	Early maglev trains	Atoms			
	1953	Air-Propelled Train	A silent means of mass transit.	Fahrenheit 451	Ray Bradbury	Yes	Engineers	N/A	1960s	Early maglev trains	Atoms			
	1953	Electronic-Eyed Snake	A fully automated stomach pump.	Fahrenheit 451	Ray Bradbury	Yes	Engineers	N/A	1960s	Early medical robots	Atoms			
	1953	Zero-G Cups	Cups that were specially designed to be usable under zero gravity conditions.	Space Tug	Murray Leinster	Yes	Engineers	N/A	1960s	Early space food research	Atoms			
	1953	Space Weakness	Early description of what happens to the human body in zero gravity.	Space Tug	Murray Leinster	No	N/A	N/A	N/A	Describing real space phenomena	N/A			
	1953	Ovoid 3D Galactic Model	A handheld display of a galaxy.	Second Foundation	Isaac Asimov	No	N/A	N/A	N/A	Early 3D display idea	Bits			
	1953	Machine Evolution	An early look at the idea that machines can evolve all by themselves, physically and intellectually.	Second Variety	Philip K. Dick	No	N/A	N/A	N/A	Early AI evolution concept	Bits			
	1953	Paint-to-Order Robot Artist	A robotic mechanism that could produce a unique picture, given subject and artistic style.	The Music Master	F.L. Wallace	No	N/A	N/A	N/A	Early artistic AI	Bits			
	1953	Self-Cleaning Autonomous Car	An automatic vehicle that keeps itself clean.	Sally	Isaac Asimov	No	N/A	N/A	N/A	Early autonomous vehicle ideas	Atoms			
	1953	Buttered Toast Robot	What it says on the tin.	Fahrenheit 451	Ray Bradbury	No	N/A	N/A	N/A	Early domestic robot	Atoms			
	1953	Robant	A robotic servant.	The Impossible Planet	Philip K. Dick	No	N/A	N/A	N/A	Early domestic robot concept	Atoms			
	1953	Inflatable Air Lock	Air lock making use of inflatable side walls to achieve large size.	Space Tug	Murray Leinster	No	N/A	N/A	N/A	Early expandable space habitat idea	Atoms			
	1953	R. Daneel Olivaw	A human-like robot, skilled in police work.	Caves of Steel	Isaac Asimov	No	N/A	N/A	N/A	Early humanoid robot concept	Atoms			
